Date,Payee,Location,Amount
Aug 19,TIM HORTONS,#3296 SCARBOROUGH CAN,-0.12
Aug 19,TIM HORTONS,#3296 SCARBOROUGH CAN,-2.09
Aug 19,GIANT TIGER,#159 SCARBOROUGH CAN ,10.51
Aug 19,DOLLARAMA,# 759 TORONTO CAN,-4.52
Aug 18,PRESTO FARE,/5F2727P5DB Toronto CAN,-6.60
Aug 17,GIANT TIGER ,#159 SCARBOROUGH CAN,-7.94
Aug 17,UBER CANADA/UBEREATS, TORONTO CAN ,19.90
Aug 17,DOLLARAMA ,# 759 TORONTO CAN,-5.93
Aug 16,PRESTO FARE,/5F17CKXPCF Toronto CAN,-3.30
Aug 16,TIM HORTONS, #2753 TORONTO CAN,-1.92
Aug 14,SEPHORA.CA SEPHORA.CA, CAN,83.62
Aug 13,GIANT TIGER, #159 SCARBOROUGH CAN,-5.94
Aug 13,ALBAAQI SUPERMARKET, SCARBOROUGH CAN,-3.29
Aug 13,DOLLARAMA, # 759 TORONTO CAN,-1.70
Aug 13,DOLLARAMA, # 759 TORONTO CAN,-6.22
Aug 11,GIANT TIGER, #159 SCARBOROUGH CAN,-7.45
Aug 9,DOORDASHZABARDASTHY, +16506819470 CAN ,23.25
Aug 9,PRESTO FARE,/5F05P5L6HS Toronto CAN,-6.60
Aug 8,KING BURRITO & JUICE B, TORONTO CAN,-3.14
Aug 8,KING BURRITO & JUICE B, TORONTO CAN ,12.97
Aug 7,DOORDASHLONZOSKITCH, +16506819470 CAN ,26.93
Aug 6,GIANT TIGER, #159 SCARBOROUGH CAN ,10.06
Aug 6,DOLLARAMA, # 759 TORONTO CAN,-9.89
Aug 4,PRESTO FARE,/55PHL2QMJF Toronto CAN,-3.30
Aug 3,SEPHORA.CA, SEPHORA.CA CAN,61.02
Aug 3,TIM HORTONS, #3296 SCARBOROUGH CAN,-2.40
Aug 3,TIM HORTONS, #3296 SCARBOROUGH CAN,-2.93
Aug 1,SHOPPERS DRUG MART, #08 NORTH YORK CAN,-3.38
Aug 1,TIM HORTONS, #3296 SCARBOROUGH CAN,-4.66
Jul 29,ALBAAQI SUPERMARKET, SCARBOROUGH CAN ,11.65
Jul 29,SHOPPERS DRUG MART, #08 TORONTO CAN,-3.70
Jul 28,PRESTO FARE,/5574G2MDMB Toronto CAN,-3.30
Jul 27,SOBEYS, #7383 TORONTO CAN ,23.15